Autor, Herausgeber oder Institution;Abstract;Jahr ermittelt;Titel;Zeitschrift/Zeitung;Dokumententyp
MacKinnon, Mary;This paper studies unemployment relief in Canada by examining relief policies and recipients and contrasting the Canadian situation with unemployment insurance in Britain. The nature of available assistance had little impact on the rate of unemployment, but was very important in explaining who received help. Relief schemes provided assistance on the basis of need rather than labor force status, so that the short-term unemployed, and unemployed dependents rarely received relief, while many of the poor who were not in the labor force were on relief. Demographic factors were of critical importance in explaining who went on relief, with older workers, and those with large families most likely to be on relief for sustained periods. The relief population appears similar to the working class in general because most relief cases show only one or two distinctive features.;1990;Relief not insurance: Canadian unemployment relief in the 1930s;Explorations in Economic History;Zeitschriftenaufsatz
May, Ann Mari;;1990;President Eisenhower, Economic Policy, and the 1960 Presidential Election;The Journal of Economic History;Zeitschriftenaufsatz
"Mayer, Thomas; Chatterji, Monojit";;1990;Reply to O'Brien;The Journal of Economic History;Zeitschriftenaufsatz
McClain, Charles J.;In a recent article (1987, Explorations in Economic History 24, 22–42) on Chinese immigration Patricia Cloud and David Galenson seek to document the mechanisms that made the 19th-century Chinese immigration into the United States possible. They claim that most Chinese immigrants came, in effect, as indentured servants, bound to and under the control of the Chinese district or place associations—the so-called six Chinese companies. This paper takes issue with those conclusions.;1990;Chinese immigration: A comment on cloud and galenson;Explorations in Economic History;Zeitschriftenaufsatz
"McDonald, John; Shlomowitz, Ralph";The seaboard population of European immigrants to Australia after the mid1850s was probably the first such group whose adult mortality rate at sea was reduced to that on land. We calculate monthly death rates for various age classes and use novel regression techniques to estimate the correlates of mortality. For adults, the main characteristics associated with mortality were length of voyage and degree of crowding. For children and infants, these characteristics were even more highly associated with mortality, as was the tonnage of the vessel. The analysis highlights the special dangers faced by infants from infectious diseases aboard ship.;1990;Mortality on immigrant voyages to Australia in the 19th century;Explorations in Economic History;Zeitschriftenaufsatz
Mills, Terence C.;This note reexamines Benjamin and Kochin's argument that the Gibson Paradox during the gold standard years of 1729 to 1931 was largely a “visual spurious regression,” movements in both the interest rate and the price level being produced by war. Although Benjamin and Kochin's specification of the variables entering into their model is vindicated by recently developed techniques in time series analysis, appropriate respecification of the dynamic relationship between interest rates and prices reveals that the Gibson Paradox did exist during the gold standard, even when the influence of war is taken into account.;1990;A note on the Gibson Paradox during the gold standard;Explorations in Economic History;Zeitschriftenaufsatz
Olney, Martha L.;In the United States in the 1920s, households purchased more durable goods and substituted these goods for conventional instruments of saving in their asset portfolios. Using a gradual stock-adjustment model, demand for durable goods is estimated by commodity group for several periods between 1902 and 1983. Demand changed after World War I for all durable goods except china and house furnishings. Increased availability of installment credit helps explain the simultaneous shifts in demand and saving.;1990;Demand for consumer durable goods in 20th century America;Explorations in Economic History;Zeitschriftenaufsatz
Ravallion, Martin;A common characterization of the 19th century Punjabi peasant is one of a myopic, extravagant person who, when given easier access to credit, eventually becomes impoverished by debt. However, the empirical support for this view is flimsy. The paper tests for excessive “extravagance” among indebted peasants using a small but remarkably detailed farm-household survey for Rohtak District in 1878. The data set offers little statistically convincing support for the historical stereotype. Estimated saving rates suggest that some peasants would have been vulnerable to recurrent drought, but no more so for those in debt. Nor did indebted households tend to have higher marginal propensities to consume. The diversity in consumption/saving behavior bore little association with indebtedness.;1990;Rural indebtedness in the Punjab 1878: Results of a household survey;Explorations in Economic History;Zeitschriftenaufsatz
Siklos, Pierre L.;Time series techniques are used to examine correlations and lead/lag relationships between money growth and inflation during and after the Hungarian hyperinflation of 1945–1946. Tests reveal several regime shifts. One occurs after the end of the hyperinflation. But others were found within both the hyperinflation and the stabilization periods due to changes in fiscal policy. Correlations between money growth and inflation are high during hyperinflation, but only after the public became convinced that notes could no longer be backed. Correlations are insignificant after stabilization, but government debt did influence inflation while a legal note issue ceiling was in place.;1990;The link between money and prices under different policy regimes: The postwar Hungarian experience;Explorations in Economic History;Zeitschriftenaufsatz
Snowden, Kenneth A.;Annual holding returns are reported for a broad range of the assets available to investors in the security market between 1872 and 1925. A generally favorable picture of asset performance is revealed when these returns are compared to those on similar investments in the modern era. Two changes in the patterns of returns around 1900 occurred—a decline in inflation adjusted debt returns and an increase in the volatility of stock returns (especially industrial stock). The structure of asset returns after 1900 was distinctly modern and has persisted to the present. The emergence of the modern structure of returns is linked to institutional changes in the security market between 1890 and World War I, and to the process of industrial capital formation.;1990;Historical returns and security market development, 1872–1925;Explorations in Economic History;Zeitschriftenaufsatz
"Temin, Peter; Wigmore, Barrie A.";This paper provides a new account of the recovery from the Great Depression in the second quarter of 1933. Our argument is that President Roosevelt established a new macroeconomic policy regime shortly after his inauguration in March 1933 that altered expectations and stimulated investment. The key to this change was Roosevelt's devaluation of the dollar and the resulting rise in farm prices and incomes. Hoover had been a financial conservative, adhering to the gold standard, a strong dollar, and fiscal orthodoxy. Roosevelt broke with this ideology, devaluing the dollar within 6 weeks of his inauguration, promoting the New Deal, and championing the virtues of inflation. The devaluation of the dollar was the single biggest signal that the iron grip of the gold standard had been broken. The New Deal emerged in the course of 1933 and reinforced the change in regime symbolized by devaluation.;1990;The end of one big deflation;Explorations in Economic History;Zeitschriftenaufsatz
"Weiller, Kenneth J.; Mirowski, Philip";We present a consistent, quarterly time series of English short- and long-term interest rates for the entire 18th century. Instability in the term structure of interest rates cannot be explained solely by wars or government intervention. Applying Shiller variance bounds tests, we find the rational expectations (RE) hypothesis rejected for the century and each subperiod. Using the modifications suggested by M. Flavin however, we reject the RE hypothesis less than half the time. On the other hand, regression tests on the relationships of short-term rates with holding period returns and long-term rates tend against the RE theory of the term structure. The evidence is also interpreted in terms of the 18th century debate between Adam Smith and Henry Thornton over the nature of interest rates.;1990;Rates of interest in 18th century England;Explorations in Economic History;Zeitschriftenaufsatz
White, Eugene Nelson;In the early years of the French Revolution, the economic regulations of the ancien régime were dismantled. Pursuing laissez-faire economic policies, the government permitted the formation of hundreds of banks of issue. While many contemporaries and historians have vilified them, these banks do not appear to have affected price stability or created other major problems. This episode offers additional evidence on the viability of free banking, but it also shows how such a system can rapidly disintegrate during a political crisis.;1990;Free banking during the French Revolution;Explorations in Economic History;Zeitschriftenaufsatz
Williamson, Jeffrey G.;Between the Act of 1815 and Repeal in 1846, the English Corn Laws generated a famous political economy debate. Labor was thought to have suffered from the “bread tax” and profits were thought to have been choked off as the export of manufactures was suppressed. No one, however, has ever offered estimates of who really paid for the subsidy to grain producers. Using a computable general equilibrium model, this paper assesses the distributional incidence of this protectionist regime during the First Industrial Revolution. It turns out there are some surprises: capitalists may not have suffered from the Corn Laws at all. The assessment hinges in part on whether terms of trade gains from protection offset efficiency losses. (Journal of Economic Literature Classification Numbers 040 and 420.);1990;The impact of the Corn Laws just prior to repeal;Explorations in Economic History;Zeitschriftenaufsatz
"Alston, Lee J.; Hatton, Timothy J.";We estimate the monthly and hourly earnings ratio between agricultural and manufacturing laborers, adjusting for compensation received in-kind and differences in the cost of living. Our results indicate that prior to the Great Depression, agricultural compensation was similar to that in manufacturing within geographic regions, and a substantial earnings gap in favor of manufacturing emerged in the earl;1991;The Earnings Gap Between Agricultural and Manufacturing Laborers, 1925–1941;The Journal of Economic History;Zeitschriftenaufsatz
"Beenstock, Michael; Warburton, Peter";In a previous paper we showed that both the supply and the demand for labor in interwar Britain were wage elastic. In the present paper we extend these efforts by endogenizing wage behavior so that the model provides an account of employment, unemployment, participation, and real wages on an integrated basis. We explain wage behavior in terms of an instantaneously augmented expected Phillips curve in which the natural rate of unemployment depends, inter alia, on unemployment benefit. The paper concludes with a series of counterfactual simulations to expose the factors responsible for the rise and decline of unemployment during the period.;1991;The market for labor in interwar Britain;Explorations in Economic History;Zeitschriftenaufsatz
Bertaux, Nancy E.;"Looked at broadly, occupational distributions by sex in the United States have changed remarkably little since 1900; accordingly, researchers have found a slow rate of decline in the index of dissimilarity (a measure of occupational segregation by gender), estimates of which have so far been confined to the 20th century. This paper analyzes trends in the index over the latter part of the 19th century. The results indicate that during this period, industrialization and the associated changes in the nature of the business enterprise resulted in a rapid declinne in occupational segregation by gender, as measured by the index. This decline occurs earliest in cities experiencing early industrialization. Index estimates are presented for the United States and for selected midwestern cities, and changes in the index are decomposed into occupational mix effects and sex composition effects. Occupation-specific index changes are used to identify which occupations influenced changes in the overall index. The results indicate that the dynamic occupational shifts of the 19th century set the stage for the “men's jobs” and “women's jobs” that have been so persistently stable in the 20th century.";1991;The roots of today's “women's jobs” and “men's jobs”: Using the index of dissimilarity to measure occupational segregation by gender;Explorations in Economic History;Zeitschriftenaufsatz
Boyd, Michael L.;This paper synthesizes several existing models of manorial organization and describes the evolution of land tenure regimes in Serbia from the 14th through the 17th centuries in order to evaluate the theories. The relative scarcity of labor, growth of population and trade, and changes in military technology (which served to shift the locus of power between central and local authority) are identified as important factors which affected the evolution of agrarian institutions. In addition, the particular institutions which arose in the two main periods of change were influenced by situation-specific institutional factors which account for variations in outcomes arising from similar sets of initial conditions.;1991;The evolution of agrarian institutions: The case of medieval and Ottoman Serbia;Explorations in Economic History;Zeitschriftenaufsatz
"Carter, Susan B.; Savoca, Elizabeth";Quick, short-lived payoffs to experience in women's occupations about the turn of the century have led to the suggestion that gender differences in occupational distribution and wage rates were the result of profit- and income-maximizing choices in the context of differences in expected firm and occupational tenure. Using micro-level data on California workers in 1892 we develop the first estimates of completed firm and occupational tenure by gender. We show that, while women's tenure was indeed briefer than men's, the differences were too small to have warranted differences in training.;1991;Gender differences in learning and earning in nineteenth-century America: The role of expected job and career attachment;Explorations in Economic History;Zeitschriftenaufsatz
Chiswick, Barry R.;The 1900 Census of Population microdata file is used to study the occupational status of adult male Jewish immigrants in comparison with other immigrants and native-born white men. On arrival the Jewish immigrants had a low occupational status but they experienced very rapid improvements with duration. Occupational parity was reached with Western European and Canadian immigrants (5 12 years after immigration) and the native born (14 years). The Jewish adjustment pattern followed the model of refugees. Their high level of attainment reflected large human capital investments (at home and in school) and an emphasis on decision making skills.;1991;Jewish immigrant skill and occupational attainment at the turn of the century;Explorations in Economic History;Zeitschriftenaufsatz
Clark, Gregory;The extent of scale economies in labor utilization in English agriculture before mechanization are investigated using the 1851 Population Census. Contrary to the work of Allen (1988, Explorations in Economic History 25, 117–146), who uses information from Arthur Young's tours circa 1770, it is found that scale economies were of limited significance. Consequently scale economies will explain little of the growth of labor productivity in English agriculture before mechanization, or of the high labor productivity of English agriculture compared to the rest of Europe.;1991;Labor productivity and farm size in English agriculture before mechanization: A note;Explorations in Economic History;Zeitschriftenaufsatz
"Dick, Trevor J.O; Floyd, John E.";This paper offers a new interpretation of Canada's balance of payments experience under the gold standard. A portfolio theory of balance of payments adjustment highlighting the significance of international capital flows is shown to explain the historical evidence better than the traditional price-specie-flow mechanism advocated by Jacob Viner. Adjustment occurs preeminently via transactions in the international capital market. Capital flows are not a response to domestic/foreign interest rate differentials. Canada's investment boom and capital inflow produced changes in domestic relative to foreign prices in violation of purchasing power parity. The theoretical background of the new interpretation is an extension of the monetary approach to balance of payments theory.;1991;Balance of payments adjustment under the international gold standard: Canada, 1871–1913;Explorations in Economic History;Zeitschriftenaufsatz
"Federico, Giovanni; Tena, Antonio";This work questions Morgenstern's pessimistic results on the reliability of aggregate international foreign trade statistics: His comparisons using pairs of countries can only test the misclassification of a country's trade flow. Aggregation, by contrast, eliminates this problem. Therefore, testing the total value of imports and exports with the sum of the same trade flows as registered by their partner countries' statistics, leads to more encouraging conclusions on the aggregate data. Our results strengthen considerably one's trust in the reliability of pre-World War II foreign trade statistics. Diversity in individual countries' accuracy indexes can be partially explained by differences in freight factors and also by minor differences in compilation.;1991;On the accuracy of foreign trade statistics (1909–1935): Morgenstern revisited;Explorations in Economic History;Zeitschriftenaufsatz
Field, Alexander James;The argument of this paper reduces to two key propositions. First, legal rules differ where technologies and endowments are similar. Second, diversity matters, in the sense that it exercises an independent influence on economic structure and rates of economic growth, and in ways that have not fully been explored. Recent literature has tended to limit the effect of law on productive use (the sectoral distribution of inputs) to its efficacy in overcoming or not introducing bargain-impeding transactions costs. Insufficient attention has been given to the macro-economic consequences of variation in income and expenditure flows associated with different legal systems or assignments of legal rights, which have traditionally been considered principally with reference to issues of equity or fairness, as distinguished from their impact on economic structure.;1991;Do legal systems matter?;Explorations in Economic History;Zeitschriftenaufsatz
Gerber, Jim;Although white children in the postbellum South benefited from the diversion of black school funds, both races had measures of schooling below the national norm. In particular, plantation states had the least commitment to public school systems. This paper theorizes that the tendency for education to create geographical and occupational mobility ran counter to the interests of southern landlords. It shows that agricultural production based on unskilled and highly supervised tenant farming was a major reason for the slow acceptance of universal free schooling in the plantation region of the United States.;1991;Public school expenditures in the plantation states, 1910;Explorations in Economic History;Zeitschriftenaufsatz
Hanson II, John R.;Building on J. Hanson (1988, Explorations in Economic History, 25, 323–336), I compare several sets of estimates of per capita income or product in the Third World before World War I, using consistency with independent evidence as the standard of evaluation. Specifically, each set of estimates is correlated with 1913 exports per capita and literacy rates early in the 20th century. The estimates derived from the work of the United Nation International Comparison Project, which are the highest in the group, are found to be the most plausible based on these tests.;1991;Third world incomes before world war I: Further evidence;Explorations in Economic History;Zeitschriftenaufsatz
"Hatton, Timothy J.; Williamson, Jeffrey G.";;1991;Unemployment, employment contracts, and compensating wage differentials: michigan in the 1890s;The Journal of Economic History;Zeitschriftenaufsatz
"Hatton, Timothy J.; Williamson, Jeffrey G.";In the 1890s, nominal farm wages in Michigan were only about 50% of unskilled city wages. Before we can conclude that such gaps were manifestations of labor market segmentation, they must be adjusted by the fact that in the cities living costs were higher, unemployment may have been higher, city workers may have been older, and farm laborers received perquisites. Using some Michigan Bureau of Labor surveys, we show that the 50% nominal wage gap collapses to a real earnings gap of 9 to 13%. On the basis of this evidence, much of the gaps between farm and city are an illusion.;1991;Wage gaps between farm and city: Michigan in the 1890s;Explorations in Economic History;Zeitschriftenaufsatz
"Hickson, Charles R.; Thompson, Earl A.";This paper presents and tests a new interpretation of European guilds and the economic effects of their policies. The traditional view, from classical economics, is that guilds, at least those of the bureaucratively active, entry-restrictive variety common in late medieval Europe, were monopolistic and economically inefficient, representing net drains on the society's resources. In contrast, our interpretation is that such guilds were first adopted and then eliminated by legislatively pragmatic European states soon after the corresponding changes in economic policy were in the substantial collective interest of the members of the state. And states abandoning legislative pragmatism in favor of legislative ideology, classical economics included, have systematically overdiscouraged guilds and suffered greatly as a result.;1991;A new theory of guilds and european economic development;Explorations in Economic History;Zeitschriftenaufsatz
HOFFMAN, PHILIP T.;;1991;Land Rents and Agricultural Productivity: The Paris Basin, 1450–1789;The Journal of Economic History;Zeitschriftenaufsatz
Huberman, Michael;Using yarn prices and output as proxies for wages and employment, this paper asks how cotton spinning firms in the heyday of industrialization responded to demand shocks. The evidence is consistent with a two-sector efficiency wage model composed of large and small firms. Large firms incurred monitoring costs on their new technology. To eliminate shirking, they paid efficiency wages and laid off workers when faced by a reduction in demand. In small firms technical change was slower, and since monitoring was not a problem, they cut wages. Over the period, the number of small firms declined and layoffs increased.;1991;How did labor markets work in lancashire? more evidence on prices and quantities in cotton spinning, 1822–1852;Explorations in Economic History;Zeitschriftenaufsatz
Irwin, Douglas A.;Economic historians have been cautious in ruling out, or have ruled out for the wrong reasons, the possibility that Britain was immiserized in the early 19th century. This note suggests that the notion that Britain was, or came close to being, immiserized can be rejected.;1991;Was Britain immiserized during the industrial revolution?;Explorations in Economic History;Zeitschriftenaufsatz
Lewchuk, Wayne A.;Did workplace characteristics, such as the degree of mechanization or the level of managerial control, systematically influence occupational mortality rates in France at the beginning of the 20th century? Data from an early 20th-century study of occupational mortality in France lead us to conclude that long hours of work, under conditions where labor had limited control of the pace of work, represented the most serious occupational risk facing early French workers. The effect of long hours of work on mortality dwarfed the impact of either mechanization or size of establishment.;1991;Industrialization and occupational mortality in France prior to 1914;Explorations in Economic History;Zeitschriftenaufsatz
"McDonald, John; Shlomowitz, Ralph";We construct a consistent series of assisted passenger fares on sailing vessels to Australia from the United Kingdom between 1847 and 1885. The passenger fares are subjected to a statistical analysis which suggests that the real fares varied with variables measuring total demand for shipping space, relative demand on the outward and homeward legs, the number of assisted passengers embarked, and the season of the voyage. The results are evaluated in the context of the joint production characteristics of a voyage whereby shipping space is necessarily available on the outward and homeward legs, and the general characteristics of Europe-Far East shipping trade.;1991;Passenger fares on sailing vessels to Australia in the nineteenth century;Explorations in Economic History;Zeitschriftenaufsatz
Nye, John Vincent C.;The signing of the 1860 Anglo-French Treaty of Commerce is the central event that ushered in the first great era of free trade in Western Europe. Yet we still lack a thorough analysis of the history and the economics of the treaty. The two questions that need to be answered are: (1) What effects did the treaty have on French national welfare? and (2) What explains the timing and successful shift toward more open trade of a nation that had been staunchly opposed to tariff reform for over half a century? In this essay, I estimate a system of export equations as a first step toward a comprehensive analysis of the 1860 treaty. I argue that real changes in the nature of world trade increased the potential benefits to be derived from free trade and raised the costs of the existing system of prohibitions. The changing external conditions combined with internal political considerations to make a regime of moderate tariffs increasingly desirable to a larger segment of the French populace, thus sustaining what would otherwise have been a wholly unacceptable action on the part of the Emperor Napoleon III. Moreover, the trade estimates suggest that the French economy benefited from the abolition of prohibitions and the move to lower tariffs.;1991;Changing French trade conditions, national welfare, and the 1860 Anglo-French Treaty of Commerce;Explorations in Economic History;Zeitschriftenaufsatz
O’Rourke, Kevin Hjortshøj;The paper asks whether Irish emigration between 1856 and 1876 was due to labor being pulled out of Ireland by higher wages abroad, or to labor being pushed off the land as a result of price shocks in international commodity markets favoring pasture over tillage. A computational general equilibrium model of the Irish agricultural sector is constructed and subjected to the wage and price shocks experienced by the economy over the period. The model suggests that all the rural depopulation occurring during this period was due to wage shocks (i.e., foreign labor demand), and none to commodity price shocks.;1991;Rural depopulation in a small open economy: Ireland 1856–1876;Explorations in Economic History;Zeitschriftenaufsatz
Riley, James C.;Life expectancy at working ages has improved substantially since the 18th century. But the probability of survival in health, which is a joint probability, shows much less substantial improvement. This conclusion is based on a comparison of health and survival experience in four British populations, one preindustrial, two industrial, and one postindustrial. It suggests that economic growth should be attributed only in small measure to gains in working health time.;1991;Working health time: A comparison of preindustrial, industrial, and postindustrial experience in life and health;Explorations in Economic History;Zeitschriftenaufsatz
"Solomou, Solomos; Weale, Martin";The three different ways of calculating GDP lead to different results. This problem is more marked in the period before 1914 than with the more recent data. The conventional solution is to resolve the discrepancy by calculating a compromise estimate as an arithmetic average of the three different estimates. Such an approach has little basis in statistical theory. This paper presents balanced estimates of GDP derived using a more satisfactory statistical method. It then compares these balanced estimates with the more conventional compromise estimates.;1991;Balanced estimates of UK GDP 1870–1913;Explorations in Economic History;Zeitschriftenaufsatz
"Anderson, J.L; Lewit, T.";Gerald Gunderson has challenged a number of conventional interpretations of the dissolution of the Roman empire. He argues that historians untrained in economic theory have misinterpreted economic development in the Roman economy as decline. This revision is rejected here on the grounds that it lacks sound evidential foundations and it depends upon an ingenious but unproven propostion about productivity, a misleading view of the pattern of technological diffusion, and a contractual interpretation of conquest which ignores the realities of military power.;1992;A contract with the Barbarians? Economics and the fall of Rome;Explorations in Economic History;Zeitschriftenaufsatz
"Atack, Jeremy; Bateman, Fred";This article develops the first comprehensive set of estimates of daily hours of work in 1880 using new data from the Census of Manufactures. We conclude that the average workday was almost exactly 10 hours in 1880???almost a decade earlier than hitherto supposed. Our statistical analysis also reveals small but statistically significant variations in hours between firms and industries, between regions, and by location. We also find that higher-paid workers probably substituted leisure for income, that total employment was unresponsive to hours, and that hours and days of employment during the year moved together.;1992;How Long Was the Workday in 1880?;The Journal of Economic History;Zeitschriftenaufsatz
Bodenhorn, Howard;Studies of postbellum financial markets have shown that the United States was not served by an integrated short-term capital market until the turn of the twentieth century. Until recently the data necessary for the study of a similar phenomenon in the antebellum period have not been available. This article reports several new regional interest rate series for the antebellum era that show that antebellum credit markets were more integrated than postbellum markets.;1992;Capital Mobility and Financial Integration in Antebellum America;The Journal of Economic History;Zeitschriftenaufsatz
Boyce, Gordon;Analysis of British capital market operations before 1914 has focused on institutional and investor behavior without fully considering entrepreneurial conduct. Consequently, those who argue that industrial performance was impaired because capital flows were obstructed by information blockages have overlooked the role company owners could play in shaping communication lines. The fund-raising techniques used by shipowners reveal that private capital attracted through preferential communication channels supported the rise of large-scale enterprise. Founders were not motivated by supply constraints, nor did they forego profits to retain control. Rather, shipowners created asymmetric information flows to attract resources and shape institutional development.;1992;64thers, Syndicates, and Stock Promotions: Information Flows and Fund-raising Techniques of British Shipowners Before 1914;The Journal of Economic History;Zeitschriftenaufsatz
"Broadberry, Stephen N.; Crafts, Nicolas F. R.";This article proposes a reinterpretation of the failure of interwar British productivity levels to match those of the United States. We argue that key elements in poor British productivity performance included inadequate human capital, a bargaining environment that allowed workers to maintain restrictive practices, and collusive agreements that limited the exit of inefficient firms. We suggest that weaknesses in the structure of British firms pointed out by Chandler and his followers have been overemphasized and that more attention should be given to the role of the market environment in determining the conduct of business.;1992;Britain's Productivity Gap in the 1930s: Some Neglected Factors;The Journal of Economic History;Zeitschriftenaufsatz
"Capie, Forrest H.; Mills, Terence C.";The empirical relationship between money and output during the period 1870 to 1913 is reexamined using newly developed output series and recent statistical techniques for decomposing time series into trend and cyclical components. Multivariate models relating the cyclical components of money and output are then built, the results from which show support for those of Friedman and Schwartz, with strong evidence of both the monetary base and broad money Granger-causing output, with there also being a clear feedback from output to money.;1992;Money and business cycles in the United States, 1870 to 1913: A reexamination of Friedman and Schwartz;Explorations in Economic History;Zeitschriftenaufsatz
Chiswick, Barry R.;This paper analyzes data from the Dillingham Commission on the weekly wages of Jewish and other white male employees in manufacturing and mining in 1909. Other variables the same (age, location, duration in the United States, marital status, and literacy), Jewish immigrant production workers earned 14 to 20% more than other immigrants, including those of Northwest European/Canadian origin. The Jews reached parity in weekly wages with native-born white men, ceteris paribus, at 4.5 years duration in the United States, after which the Jews had higher wages. Jewish production workers in manufacturing achieved a high level of economic success.;1992;Jewish immigrant wages in America in 1909: An analysis of the dillingham commission data;Explorations in Economic History;Zeitschriftenaufsatz
Clark, Gregory;The Postan thesis is that medieval agriculture had low yields because there was insufficient pasture to keep the arable land fertile. This argument (and variants of it) has become an orthodox technological explanation for low preindustrial yields. Yet the thesis, on its face, implies that early cultivators were ignorant, irrational, or completely custom bound. This article develops a revised Postan thesis, in which medieval cultivators knew that pasture restored fertility but were unwilling to employ it. Impatience made this way of increasing yields unattractive because it required large capital investments in the soil nitrogen stock.;1992;The Economics of Exhaustion, the Postan Thesis, and the Agricultural Revolution;The Journal of Economic History;Zeitschriftenaufsatz
Cohn, Raymond L.;The state of German fiscal policy during the Great Depression is investigated using the concept of the high employment budget. Fiscal policies followed by pre-Nazi governments, even those in office during 1932, were found to have been consistently restrictive. Only after Hitler assumed power in early 1933 did fiscal policy move toward expansion, almost totally through increases in government expenditures. In contrast to the United States and Britain, fiscal policies undertaken by the Nazis helped to promote a quick and complete economic recovery from the Great Depression in Germany.;1992;Fiscal policy in Germany during the Great Depression;Explorations in Economic History;Zeitschriftenaufsatz
Engerman, Stanley L.;This paper deals with implications of differing forms of property rights in people, and their meanings for labor and other markets. It contrasts such institutions as slavery, serfdom, debt peonage, and free labor, and their effects upon the pace and pattern of economic change.;1992;Coerced and free labor: Property rights and the development of the labor force;Explorations in Economic History;Zeitschriftenaufsatz
